Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2014-12-17,Kono,,Tankorio,Woama,68.0,92.0,160,60.0,109.0,169,6.0,5.0,7.0,0.0,5.0,3.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Bonthe,Gbap,Mawonhe,Salina,66.0,92.0,158,60.0,90.0,150,2.0,5.0,4.0,0.0,0.0,1.0,,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Kono,Gbomoti,Gawuima,Sakrim,77.0,76.0,153,51.0,59.0,110,2.0,3.0,4.0,0.0,2.0,2.0,,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,Kono,,Sandor,Kangbor,77.0,76.0,153,51.0,59.0,110,7.0,6.0,8.0,0.0,6.0,2.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Kono,Soro Gbema,Moiwebu,Sinni,55.0,97.0,152,82.0,52.0,134,2.0,4.0,4.0,2.0,1.0,2.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2014-12-16,Kono,,Gbense,Borom,55.0,97.0,152,82.0,52.0,134,5.0,4.0,5.0,3.0,1.0,4.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,Bonthe,Sittia,Moore,Gondama,66.0,85.0,151,73.0,96.0,169,2.0,5.0,1.0,0.0,1.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Bonthe,Yawbeko,Kataway,Koyan,66.0,85.0,151,73.0,96.0,169,2.0,5.0,4.0,0.0,2.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Bonthe,Kpanda Kemo,Ba-Kobotu,Mongere,78.0,73.0,151,82.0,86.0,168,2.0,5.0,1.0,1.0,1.0,1.0,,1,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Kono,Nimikoro,Gbogborafe,Kwudu,60.0,90.0,150,50.0,45.0,95,2.0,3.0,3.0,2.0,2.0,4.0,,5,4.0,7.0,9.0,6.0,3.0,7.0,6.0,8.0,6.0,5.0,8.0,7.0,5.0,2.0,7.0,1.0,1.0,3.0,1.0
2015-02-04,Pujehun,Soro Gbema,Mano River,Victoria,61.0,88.0,149,40.0,73.0,113,2.0,3.0,1.0,0.0,2.0,2.0,,3,4.0,2.0,5.0,1.0,2.0,0.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0
2015-02-06,Pujehun,Soro Gbema,Mano River,Zozo,61.0,88.0,149,40.0,73.0,113,2.0,3.0,4.0,0.0,2.0,4.0,,3,4.0,2.0,5.0,1.0,2.0,0.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0
2015-02-03,Kono,Gbense,Bafenfeh,Koakor,57.0,90.0,147,37.0,65.0,102,2.0,4.0,3.0,2.0,2.0,4.0,,5,7.0,0.0,9.0,3.0,8.0,1.0,6.0,0.0,4.0,0.0,5.0,0.0,4.0,,5.0,0.0,0.0,0.0,0.0
2015-02-03,Pujehun,Soro Gbema,Mano River,Kojeh,51.0,95.0,146,50.0,80.0,130,2.0,4.0,1.0,0.0,0.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Pujehun,Soro Gbema,Mano River,Baaka,51.0,95.0,146,50.0,80.0,130,2.0,4.0,4.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Bonthe,Kpanda Kemo,Gbongeh,Manoma,46.0,99.0,145,44.0,73.0,117,2.0,3.0,1.0,2.0,0.0,1.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11,Bonthe,Sogbini,Ndopie,Moyandeh,59.0,83.0,142,58.0,5.0,63,0.0,0.0,0.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2015-02-05,Port Loko,T.m. Safroko,Kalangba,Kalangba,78.0,61.0,139,68.0,64.0,132,2.0,4.0,4.0,0.0,2.0,4.0,,5,1.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Bonthe,Kwamebai Krim,Tun-Tun Sulain,Tee,30.0,109.0,139,25.0,55.0,80,2.0,5.0,1.0,1.0,1.0,1.0,,10,3.0,9.0,3.0,10.0,3.0,9.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-06,Kono,Soro Gbema,Moiwebu,Wai,51.0,86.0,137,40.0,52.0,92,2.0,4.0,4.0,0.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2014-12-19,Kono,,Gbense,Darma,51.0,86.0,137,40.0,52.0,92,4.0,4.0,7.0,0.0,4.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Bonthe,Dema,Tombay,Dema,54.0,82.0,136,64.0,129.0,193,2.0,4.0,3.0,0.0,2.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2015-02-11,Bonthe,Soro Gbema,Mano River,Kulakor,54.0,82.0,136,64.0,129.0,193,2.0,4.0,4.0,0.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2015-02-03,Port Loko,T.m. Safroko,Bombeh,Magbana,79.0,55.0,134,72.0,82.0,154,2.0,4.0,2.0,0.0,0.0,4.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2015-02-06,Kono,Soro Gbema,Massaquoi 1,Fairowlo,97.0,36.0,133,60.0,61.0,121,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-19,Kono,,Sandor,Baudu,97.0,36.0,133,60.0,61.0,121,1.0,1.0,1.0,0.0,1.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11,Pujehun,Soro Gbema,Gbaama,Kebawana,55.0,77.0,132,65.0,96.0,161,2.0,3.0,4.0,0.0,1.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-11,Pujehun,Soro Gbema,Gbaama,Kebawana,55.0,77.0,132,65.0,96.0,161,2.0,3.0,1.0,0.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Bonthe,Yawbeko,Kataway,Sangor,85.0,46.0,131,23.0,42.0,65,2.0,3.0,4.0,0.0,0.0,4.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-02-05,Bonthe,Sittia,Kamia,Njorporhum,85.0,46.0,131,23.0,42.0,65,2.0,3.0,1.0,0.0,0.0,2.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-02-04,Kono,Bapewa,Kpetema,Y.k.k,80.0,50.0,130,41.0,29.0,70,2.0,3.0,4.0,2.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,Kono,,Gbense,Kamadu,80.0,50.0,130,41.0,29.0,70,7.0,12.0,8.0,4.0,4.0,5.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Port Loko,Debia,Makump,Makallay,66.0,62.0,128,59.0,67.0,126,2.0,4.0,3.0,0.0,0.0,4.0,,1,6.0,3.0,6.0,1.0,6.0,3.0,6.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0
2015-02-03,Port Loko,T.m. Safroko,Malaykuray,Malaykuray,63.0,64.0,127,74.0,56.0,130,2.0,5.0,3.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,Port Loko,T.m. Safroko,Malaykuray,Rogbom,74.0,51.0,125,70.0,81.0,151,2.0,1.0,4.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Port Loko,T.m. Safroko,Bombeh,Marenka,74.0,50.0,124,66.0,66.0,132,2.0,3.0,3.0,0.0,2.0,5.0,,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2015-02-03,Bonthe,Soro Gbema,Zoker 2,Levuma,65.0,57.0,122,29.0,22.0,51,2.0,5.0,4.0,2.0,1.0,2.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Bonthe,Imperri,Kahekay,Molatrga,65.0,57.0,122,29.0,22.0,51,2.0,5.0,3.0,2.0,2.0,4.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2015-02-06,Bonthe,Dema,Tonteh,Dema,65.0,57.0,122,29.0,22.0,51,2.0,5.0,3.0,2.0,2.0,4.0,,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12,Pujehun,Soro Gbema,Gbaama,Kanga,38.0,82.0,120,48.0,88.0,136,2.0,4.0,1.0,0.0,1.0,2.0,,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2015-02-13,Pujehun,Soro Gbema,Gbaama,Gbaama,38.0,82.0,120,48.0,88.0,136,2.0,4.0,4.0,0.0,1.0,4.0,,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,Pujehun,Soro Gbema,Mano River,Victoria,55.0,62.0,117,61.0,94.0,155,2.0,3.0,4.0,0.0,0.0,4.0,,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2015-02-04,Port Loko,T.m. Safroko,Bombeh,Kalangba,61.0,56.0,117,61.0,68.0,129,2.0,4.0,3.0,1.0,2.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,Pujehun,Kpaka,Nyangoehun,Soso,75.0,39.0,114,46.0,39.0,85,2.0,0.0,2.0,0.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Pujehun,Kpaka,Nyangoehun,Mamboma,75.0,39.0,114,46.0,39.0,85,2.0,0.0,2.0,0.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Kono,Soro Gbema,Massaquoi 1,Madina,39.0,73.0,112,26.0,71.0,97,2.0,3.0,4.0,2.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,Kono,,Sandor,Kongowao,39.0,73.0,112,26.0,71.0,97,4.0,3.0,8.0,4.0,5.0,5.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Pujehun,Kpaka,Nyangoehun,Sahun,36.0,73.0,109,29.0,49.0,78,2.0,4.0,1.0,2.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2015-02-05,Pujehun,Kpaka,Nyangoehun,Taninahun,36.0,73.0,109,29.0,49.0,78,2.0,4.0,4.0,2.0,1.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2015-02-10,Kono,Jassande Keifema,Tokor,Kpaka,37.0,70.0,107,38.0,78.0,116,2.0,4.0,4.0,1.0,2.0,2.0,,1,6.0,1.0,3.0,1.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,Kono,,Tankorio,Woama,37.0,70.0,107,38.0,78.0,116,5.0,4.0,6.0,1.0,3.0,2.0,,1,6.0,1.0,3.0,1.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Bonthe,Bum,Langei,Nyagahum,30.0,77.0,107,22.0,49.0,71,6.0,4.0,5.0,0.0,4.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Bonthe,Kpanda Kemo,Gbongeh,Manoma,30.0,77.0,107,22.0,49.0,71,6.0,4.0,5.0,0.0,4.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
